size,total_time,construction_time,flatten_time,percentage of time in construction
1000,0.003422,0.000396,0.003026,11.57218001
1000,0.003431,0.000397,0.003034,11.57097056
1000,0.003623,0.000476,0.003147,13.13828319
1000,0.003624,0.000471,0.003153,12.99668874
1000,0.003635,0.000497,0.003138,13.67262724
1000,0.003627,0.000478,0.003149,13.17893576
1000,0.003622,0.000475,0.003147,13.11430149
1000,0.003645,0.000496,0.003149,13.60768176
1000,0.003649,0.000477,0.003172,13.07207454
1000,0.003849,0.000554,0.003295,14.39334892
1000,0.003609,0.000474,0.003135,13.13383209
10000,0.049755,0.004015,0.04574,8.06954075
10000,0.047509,0.004324,0.043185,9.101433413
10000,0.051263,0.004689,0.046574,9.146948091
10000,0.053969,0.004854,0.049115,8.994052141
10000,0.050319,0.005241,0.045078,10.4155488
10000,0.051536,0.004766,0.04677,9.247904378
10000,0.053204,0.006156,0.047048,11.5705586
10000,0.049808,0.004944,0.044864,9.926116287
10000,0.049714,0.004727,0.044987,9.508387979
10000,0.050843,0.004725,0.046118,9.293314714
10000,0.05365,0.006429,0.047221,11.9832246
100000,0.627204,0.041604,0.5856,6.633248512
100000,0.617586,0.044009,0.573577,7.12597112
100000,0.644514,0.05909,0.585424,9.168148403
100000,0.638177,0.054336,0.583841,8.514252316
100000,0.633031,0.059333,0.573698,9.37284272
100000,0.635803,0.05377,0.582033,8.457022065
100000,0.635222,0.053389,0.581833,8.404778172
100000,0.633842,0.055001,0.578841,8.677399099
100000,0.631923,0.055494,0.576429,8.781766133
100000,0.626262,0.055404,0.570858,8.846776589
100000,0.630548,0.055057,0.575491,8.731611233
1000000,8.649863,0.442346,8.207517,5.113907584
1000000,8.521536,0.438319,8.083217,5.143661894
1000000,7.741949,0.691677,7.050272,8.934145652
1000000,7.709564,0.692474,7.01709,8.982012472
1000000,7.757856,0.684933,7.072923,8.828895509
1000000,7.766719,0.692855,7.073864,8.920819718
1000000,7.744147,0.688619,7.055528,8.892122012
1000000,7.724811,0.686393,7.038418,8.885563673
1000000,7.83085,0.689766,7.141084,8.808315828
1000000,7.775569,0.691985,7.083584,8.899477324
1000000,7.743526,0.690541,7.052985,8.917655859
10000000,110.967889,4.450385,106.517504,4.010516051
10000000,91.39674,7.402113,83.994627,8.09888077
10000000,91.165308,7.391492,83.773816,8.107790301
10000000,90.929737,7.434678,83.495059,8.176288908
10000000,91.065081,7.41812,83.646961,8.14595443
10000000,94.762687,7.385635,87.377052,7.793821845
10000000,91.479651,7.483484,83.996167,8.180490326
10000000,91.135202,7.430549,83.704653,8.153324771
10000000,91.327046,7.433174,83.893872,8.139071968
10000000,91.063964,7.435728,83.628236,8.165390209